example_id,nl_query,gold_query
e1,Show all columns associated with business terms created in the last 10 days.,select t3.short_name from node_business_term as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.creation_date >= now() - interval '10 days'
e2,List the columns that are tagged with business terms created in the past 4 days,select t3.short_name from node_business_term as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.creation_date >= now() - interval '4 days'
e3,Find columns associated with business terms created in the last 15 days.,select t3.short_name from node_business_term as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.creation_date >= now() - interval '15 days'
e4,"Show the name, long name and description for the start date column in the bill of materials table.","select t3.short_name, t3.long_name, t3.description from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'bill_of_materials' and t3.short_name = 's_date'"
e5,Show the number of business terms owned by each asset owner.,"select t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_business_term as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e6,Count the number of business terms belonging to each account.,"select t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_business_term as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e7,List the description and creation date for the 'employee_db' SQL database.,"select description, creation_date from node_rdbms where short_name = 'employee_db'"
e8,"List the name, description and creation date of the employee database.","select short_name, description, creation_date from node_database where short_name = 'employee_db'"
e9,List all relational databases that contain more than 10 tables and were created in the past year.,select short_name from node_rdbms where num_tables > 10 and creation_date >= now() - interval '365 days'
e10,Print the names of relational databases that have more than 20 tables and were created within the last 2 years.,select short_name from node_rdbms where num_tables > 20 and creation_date >= now() - interval '2 years'
e11,What is the total size of files owned by each user?,"select t1.short_name, sum(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e12,Print the cumulative size of files owned by each user.,"select t1.node_id, t1.short_name, sum(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e13,"For each directory id, list the number of files directly under it.","select source_node_id, count(*) from edge_has_dir_file group by source_node_id"
e14,Count the number of assets of each asset type present in the lake.,"select type_name, count(*) from node group by type_name"
e15,Print the number of rows and number of columns in the table named 'ship_method',"select num_rows, num_cols from node_table where short_name = 'ship_method'"
e16,Print the number of rows and number of columns in the delivery method table.,"select num_rows, num_cols from node_table where short_name = 'ship_method'"
e17,Sort all nosql databases by their creation date.,"select short_name, creation_date from node_nosql order by creation_date asc"
e18,Which folders have more than 100 files?,"select t1.short_name, count(*) from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id group by t1.short_name, t2.source_node_id having count(*) > 100"
e19,"List the name, description and number of files for all directories that have more than 100 files.","select t1.short_name, t1.description, count(*) from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id group by t1.short_name, t1.description, t2.source_node_id having count(*) > 100"
e20,Name the 5 earliest created folders in the data lake with size greater than 100Kb.,select short_name from node_directory where dsize > 100 order by creation_date asc limit 5
e21,"Print the name, size and creation date for the 5 most recently created folders in the data lake with size greater than 100Kb.","select short_name, dsize, creation_date from node_directory where dsize > 100 order by creation_date desc limit 5"
e22,"Show the short name, long name and description for the modification column in the bill of materials table.","select t3.short_name, t3.long_name, t3.description from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'bill_of_materials' and t3.short_name = 'mod_date'"
e23,"Display the short name, long name and description for the modification column in the bill of materials table.","select t3.short_name, t3.long_name, t3.description from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'bill_of_materials' and t3.short_name = 'mod_date'"
e24,"Print the short name, long name and description for the modification column in the bill of materials table.","select t3.short_name, t3.long_name, t3.description from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'bill_of_materials' and t3.short_name = 'mod_date'"
e25,"For each directory, list the directory name, owner id and last modified timestamp.","select t1.short_name, t2.source_node_id, t1.modified_date from node_directory as t1 join edge_own as t2 on t1.node_id = t2.target_node_id"
e26,"Print the name, owner id and last modified timestamp for each directory.","select t1.short_name, t2.source_node_id, t1.modified_date from node_directory as t1 join edge_own as t2 on t1.node_id = t2.target_node_id"
e27,Which tables in the data lake have more than 25 columns?,"select short_name, num_cols from node_table where num_cols > 25"
e28,Print the names and descriptions of all tables that have more than 25 columns?,"select short_name, description from node_table where num_cols > 25"
e29,Count the number of folder belonging to each owner account.,"select t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e30,Display the number of folders belonging to each asset owner.,"select t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e31,List the owner for each asset in the database.,"select t3.short_name, t1.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id"
e32,Print the name of every asset and it's owner.,"select t3.short_name, t1.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id"
e33,Order all csv files by their creation date.,select short_name from node_file where extension = 'csv' order by creation_date asc
e34,Order the csv files in the data lake from the most recently created to the least recently created.,select short_name from node_file where extension = 'csv' order by creation_date desc
e35,What are the columns associated with at least one business term?,select distinct t1.short_name from node_column as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.target_node_id
e36,Print the names of all columns that are tagged with one or more business terms.,select distinct t1.short_name from node_column as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.target_node_id
e37,"For each owner, display the sum of all file sizes created in the past month.","select t1.short_name, sum(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t3.creation_date >= now() - interval '30 days' group by t1.node_id, t1.short_name"
e38,Display the cumulative size of all files created in the past month for each owner.,"select t1.node_id, t1.short_name, sum(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t3.creation_date >= now() - interval '30 days' group by t1.node_id, t1.short_name"
e39,Which tables contain the word 'work' in their names and have one or more columns that contains the word 'hours' in their names?,select t1.short_name from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name like '%work%' and t3.short_name like '%hours%'
e40,Find the tables that contain the word 'contact' in their names and also in the name of one or more columns.,select t1.short_name from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name like '%contact%' and t3.short_name like '%contact%'
e41,"Give the name, long name and description of the spanish country names column in the geography table.","select t1.short_name, t1.long_name, t1.description from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'dim_geography' and t3.short_name = 'spanish_country'"
e42,List the source assets for the 20 oldest relations in the lake.,select t1.short_name from node as t1 join edge as t2 on t1.node_id = t2.source_node_id order by t1.creation_date asc limit 20
e43,Print the source node names for the 20 oldest edges in the lake.,select t1.short_name from node as t1 join edge as t2 on t1.node_id = t2.source_node_id order by t1.creation_date asc limit 20
e44,Show the ids of users who own more than 20 assets.,"select source_node_id, count(*) from edge_own group by source_node_id having count(*) > 20"
