NL_query,Gold_SQL_query
List all tables that were pulled from files whose name begins with 'phone'.,select t3.short_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.short_name like 'phone%'
"Among all the columns in the lake, count the occurences of each column type.","select col_type, count(*) from node_column group by col_type"
"For every business term that has the word 'customer' in it, count the number of columns associated with it.","select t1.node_id, t1.short_name, count(*) from node_business_term as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name having t1.short_name like '%customer%'"
Which files are located one level below the directory 'part1'?,select t3.short_name from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'part1'
Show the creation date and last modified date for the 10 biggest tables in the lake by the number of rows.,"select short_name, creation_date, modified_date, num_rows from node_table order by num_rows desc limit 10"
Show all tables created in the last 24 hours.,select short_name from node_table where creation_date >= now() - interval '24 hours'
Which are the assets in the lake owned by Jane Doe?,select t3.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id where t1.long_name = 'Jane Doe'
List all columns linked with business terms that were added in the past 30 days.,select t3.short_name from node_business_term as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.creation_date >= now() - interval '30 days'
What is the average size of a file owned by each user who owns 25 files or more?,"select t1.node_id, t1.short_name, count(*), avg(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name having count(*) >= 25"
Sort the nosql databases in the lake by their last modified date.,"select short_name, modified_date from node_nosql order by modified_date desc"
"Print the type, description and creation date for a sample of 10 columns.","select col_type, description, creation_date from node_column limit 10"
Display the ids of users that own more than 20 assets.,"select source_node_id, count(*) from edge_own group by source_node_id having count(*) > 20"
What is the average size of all files created in the last 30 days for each owner account?,"select t1.short_name, sum(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t3.creation_date >= now() - interval '30 days' group by t1.node_id, t1.short_name"
List ids for all directories that contain a file name 'tax_report.csv'.,select t1.source_node_id from edge_has_dir_file as t1 join node_file as t2 on t1.target_node_id = t2.node_id where t2.short_name = 'tax_report.csv'
Show the columns that have the word 'water' in their name or description?,select * from node_column where short_name like '%water%' or description like '%water%'
Count the number of columns within each table associated with the classification 'zipcode'.,"select t1.short_name, count(*) from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join edge_assoc_class_col as t3 on t2.target_node_id = t3.target_node_id join node_classification as t4 on t3.source_node_id = t4.node_id where t4.short_name = 'zipcode' group by t1.node_id, t1.short_name"
"Print the name, long name and description for the product model id column.","select short_name, long_name, description from node_column where short_name = 'p_model_id'"
How many columns do each of the 10 newest tables in the lake have?,"select t1.node_id, t1.short_name, t1.creation_date, count(*) from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name, t1.creation_date order by t1.creation_date desc limit 10"
Display the description and creation timestamp for all labels.,"select short_name, description, creation_date from node_label"
Count the number of boolean columns in the lake.,select count(*) from node_column where col_type = 'bool'
List all assets owned by the user 'jdoe'.,select t1.short_name from node as t1 join edge_own as t2 on t1.node_id = t2.target_node_id join node_owner as t3 on t2.source_node_id = t3.node_id where t3.short_name = 'jdoe'
How many assets does the account 'uwmadison' own that were created in the past one week?,select count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id where t1.short_name = 'uwmadison' and t2.creation_date >= now() - interval '7 days'
Show the ids for all folders that contain more than 10 files and were created in the past one week.,select source_node_id from edge_has_dir_file where creation_date >= now() - interval '7 days' group by source_node_id having count(*) > 10
Which are the tables belonging to the account 'lakeadmin'?,select t1.short_name from node_table as t1 join edge_own as t2 on t1.node_id = t2.target_node_id join node_owner as t3 on t2.source_node_id = t3.node_id where t3.short_name = 'lakeadmin'
Show short name and long name for the table from file 'business_entity_address',"select t3.short_name, t3.long_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'business_entity_address'"
Order all relational database owners by the number of relational databases they own.,"select t1.node_id, t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_rdbms as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name order by count(*)"
Show all columns of type string.,select short_name from node_column where col_type = 'string'
How many assets does the user 'jdoe' own?,select count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id where t1.short_name = 'jdoe'
Print out the creation date and owner for every file in the data lake.,"select t3.short_name, t3.creation_date, t1.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id"
"For each owner account, display the mean size of a file added in past month.","select t1.node_id, t1.short_name, sum(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t3.creation_date >= now() - interval '30 days' group by t1.node_id, t1.short_name"
Give all column names association with the classification 'date'.,select t3.short_name from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'date'
Show the number of rows and description for all tables in the lake. Identify each table by short name.,"select short_name, num_rows, description from node_table"
List the creation data of nosql databases created in the past week.,"select short_name, creation_date from node_nosql where creation_date >= now() - interval '7 days'"
Print size and description for folders.,"select short_name, dsize, description from node_directory"
